type,election,turnout,registered voters,date,notes,url
general election,general election 1970,72,39313242,1970-06-18,registered voters calculated from turnout,
general election,general election february 1974,78.8,39748708,1974-02-28,registered voters calculated from turnout,
general election,general election october 1974,72.8,40094923,1974-10-10,registered voters calculated from turnout,
general election,general election 1979,76,41080739,1979-05-03,registered voters calculated from turnout,
general election,general election 1983,72.7,42175116,1983-06-09,registered voters calculated from turnout,
general election,general election 1987,75.3,43200802,1987-06-11,registered voters calculated from turnout,
general election,general election 1992,77.7,43261356,1992-04-09,registered voters calculated from turnout,
general election,General Election 1997,71.4,43879781,2016-05-01,registered voters calculated from turnout,
general election,General Election 2001,59.4,44390916,2001-06-07,registered voters calculated from turnout,
general election,General Election 2005,61.4,44215814,2005-05-05,registered voters calculated from turnout,
general election,General Election 2010,65.1,45597461,2010-05-06,,
general election,General Election 2015,66.1,46432194,2015-05-07,registered voters calculated from turnout,
referendum,AV Referendum,42.2,45684501,2011-05-05,,
referendum,EC Membership 1975,65,39851068,1975-06-05,registered voters calculated from turnout,
referendum,Scotish devolution 1979,63.72,3747112,1979-03-01,,
referendum,Scotish devolution 1997,60.4,3973673,1997-09-11,,
referendum,Scotish independence 2014,84.59,4283392,2014-09-18,,
referendum,Welsh devolution 1979,59.01,2038048,1979-03-01,,
referendum,Welsh devolution 1997,50.22,2222533,1997-09-18,,
referendum,Welsh devolution 2011,35.63,2289044,2011-03-03,,
referendum,Northern Ireland Sovereignty 1973,58.66,1030084,1973-03-08,,
referendum,Belfast agreement referendum 1998,81.1,1175935,1998-05-22,registered voters calculated from turnout,
london mayoral,London Mayoral Election 2000,34.43,5089466,2000-05-04,registered voters calculated from turnout,
london mayoral,London Mayoral Election 2004,36.95,5197792,2004-06-10,,
london mayoral,London Mayoral Election 2008,45.3,5420229,2008-05-01,registered voters calculated from turnout,
london mayoral,London Mayoral Election 2012,38.1,5372924,2012-05-03,registered voters calculated from turnout,
european parliament,European Parliament election 2014,35.6,46476860,2014-05-22,registered voters calculated from turnout,
european parliament,European Parliament election 2009,34.7,44171778,2009-06-04,,
european parliament,European Parliament election 2004,38.2,45309760,2004-06-10,,
european parliament,European Parliament election 1999,24,44500000,1999-06-10,registered voters calculated from turnout,
european parliament,European Parliament election 1994,36.8,43077688,1994-06-09,registered voters calculated from turnout,
european parliament,European Parliament election 1989,36,44155772,1989-06-15,registered voters calculated from turnout,
european parliament,European Parliament election 1984,33,42418758,1984-06-14,registered voters calculated from turnout,
european parliament,European Parliament election 1979,32.7,41162358,1979-06-07,registered voters calculated from turnout,
