local authority,LSAbbreviation,code,inner london,1,2.a,2.b,3.a,3.b,4.a,4.b,5,6,7,8,9.a,9.b,population (projected from last census),area km^2,
Barking & Dagenham,,E09000002,,58.0,29.1,1.5,14.7385989256938,0.28416600581549,0.819819022824356,39.3,0.0472589792060491,27.9,29.0,7.5,9.5,0.0,221495,36.1,
Barnet,,E09000003,,54.0,31.5,1.6,5.59994821168474,0.185145362108679,0.953051455657859,32.9,0.042025635637739,4.3,28.0,0.9,55.9,0.0,411275,86.7,
Bexley,,E09000004,,42.0,35.1,1.8,3.01730727470141,0.162354328772291,1.06976744186047,24.1,0.0116890707188778,9.5,19.0,3.5,28.5,0.0,256845,60.6,
Brent,,E09000005,,68.0,33.1,2.8,4.40959685349066,0.221809733945061,0.79275382260367,49.7,0.0854700854700855,45.2,64.0,4.9,28.5,1.7,346437,43.2,
Bromley,,E09000006,,44.0,39.3,2.5,6.25556613513824,0.113605647375905,1.04937940003958,23.1,0.0231770369049741,4.9,9.0,1.6,60.5,0.0,339466,150.1,
Camden,,E09000007,true,85.0,44.4,5.4,3.76315370935812,0.162657702419956,0.377486161394165,68.9,0.276497695852535,93.1,100.0,9.4,24.8,3.1,259344,21.8,
City of London,,E09000001,true,93.0,53.3,1.4,5.56135570940321,0.143152755625548,0.694629898403483,70.6,0.521739130434783,94.8,100.0,16.1,0.0,0.0,8164,2.9,
Croydon,,E09000008,,51.0,34.2,2.1,8.64379162702188,0.148675114692231,0.911370006328869,34.4,0.0538748445917944,77.3,21.0,0.6,27.0,10.7,403461,86.5,
Ealing,,E09000009,,60.0,36.4,3.1,5.16455040871935,0.207597032508676,0.932826655608013,40.4,0.122883670125614,87.1,40.0,4.3,23.1,0.0,369685,55.5,
Enfield,,E09000010,,53.0,31.9,2.2,2.24244574929793,0.195444014562719,0.915037015011856,30.6,0.0404346727318676,21.8,14.0,14.4,25.9,1.8,346635,80.8,
Greenwich,,E09000011,,61.0,36.6,2.7,4.91737066414112,0.111671239869823,0.706580046904062,44.2,0.0988835725677831,61.8,31.0,10.0,46.5,3.8,294837,47.3,
Hackney,,E09000012,true,88.0,38.5,13.5,3.42438066932912,0.27797966244883,0.346899192261835,70.4,0.747330960854093,95.6,90.0,2.3,22.6,8.0,292023,19.0,
Hammersmith & Fulham,,E09000013,true,77.0,41.6,8.8,2.47292998698105,0.153088045845537,0.548320042329642,59.8,0.175566934893928,81.2,98.0,3.5,22.0,0.0,195981,16.4,
Haringey,,E09000014,true,75.0,38.6,5.0,6.16714494722542,0.200860514147506,0.558592903085929,56.6,0.171480144404332,90.1,72.0,3.5,50.2,0.9,291330,29.6,
Harrow,,E09000015,,50.0,32.3,1.4,3.89218992805755,0.172037947949466,1.15407851514943,26.3,0.0405542412977357,26.6,26.0,3.3,29.6,0.0,263484,50.5,
Havering,,E09000016,,42.0,33.5,1.2,3.00672277828329,0.194124180501086,1.09497413506715,23.0,0.0390815828041036,9.4,17.5,1.7,45.4,0.0,265930,112.3,
Hillingdon,,E09000017,,41.0,33.4,2.2,5.22694454994303,0.196012998415697,1.28475686068235,24.0,0.0781745193323473,7.9,14.0,6.2,13.0,0.9,319467,115.7,
Hounslow,,E09000018,,59.0,32.1,4.6,2.79431771156632,0.232217463914374,0.965415870690594,35.0,0.0927406459865686,57.0,29.0,8.6,28.6,3.1,286947,56.0,
Islington,,E09000019,true,82.0,40.6,6.2,4.65309065166362,0.130657120631606,0.333339586890044,70.6,0.26369168356998,97.0,100.0,2.5,36.4,16.0,244372,14.9,
Kensington & Chelsea,,E09000020,true,78.0,43.6,5.5,7.55790147699138,0.183945929018154,0.537140149271413,60.1,0.116731517509728,10.2,100.0,1.3,36.7,1.1,161552,12.1,
Kingston upon Thames,,E09000021,,58.0,38.7,5.6,3.43014268419232,0.124611523575254,0.955691819362285,28.6,0.149602618045816,43.7,22.0,4.4,9.6,1.5,184660,37.3,
Lambeth,,E09000022,true,76.0,42.2,7.3,4.16430406549972,0.150145616083531,0.451572444240583,57.2,0.162185232607768,89.7,66.0,3.5,36.0,1.9,342250,26.8,
Lewisham,,E09000023,true,70.0,37.2,4.4,3.38344329614674,0.153867853158779,0.585486986112388,47.0,0.0935588341129903,93.0,24.0,1.6,24.3,0.0,320574,35.1,
Merton,,E09000024,,57.0,37.8,4.4,3.51464248704663,0.130125891945013,0.872204115144428,30.3,0.212585034013605,68.7,38.0,3.6,30.2,3.9,214740,37.6,
Newham,,E09000025,true,73.0,33.8,3.8,5.41349571794016,0.180057115324068,0.614439834024896,53.6,0.063622754491018,40.7,91.0,8.1,33.5,4.3,366943,36.2,
Redbridge,,E09000026,,49.0,33.1,1.5,7.21425390399075,0.238379022646007,0.966298610412302,32.0,0.0210970464135021,15.3,12.0,1.9,42.9,2.0,316288,56.4,
Richmond upon Thames,,E09000027,,62.0,43.3,7.3,3.25690582959641,0.103721332837985,0.920555050915523,27.5,0.105017502917153,6.4,38.0,2.4,47.3,0.0,203312,57.4,
Southwark,,E09000028,true,77.0,40.8,10.5,5.00884855079632,0.140291176134672,0.433234421364985,57.1,0.213903743315508,96.5,59.0,5.6,37.9,5.9,332679,28.9,
Sutton,,E09000029,,47.0,33.2,1.1,2.22979784366577,0.196968399417659,1.05827784211542,23.2,0.0930059523809524,23.2,9.0,5.6,28.1,0.0,213340,43.8,
Tower Hamlets,,E09000030,true,80.0,38.8,6.4,5.37429807079082,0.200886853033675,0.343663035853318,69.8,0.408963585434174,91.8,100.0,13.2,33.1,0.0,331620,19.8,
Waltham Forest,,E09000031,,67.0,40.2,4.7,6.30215868382646,0.190865091650265,0.75783141866367,45.7,0.208570345089116,71.4,51.0,9.1,48.6,2.2,292788,38.8,
Wandsworth,,E09000032,true,70.0,45.0,5.1,5.51439092340615,0.161682039744178,0.586996098829649,50.5,0.0967621883141049,80.0,69.0,3.5,20.3,0.8,337783,34.3,
Westminster,,E09000033,true,83.0,46.3,5.9,5.97984296953047,0.173683128675828,0.43140347118063,70.6,0.133460438512869,11.0,100.0,12.5,27.9,1.0,262317,21.5,
