local authority,LSAbbreviation,code,inner london,1. modal share %: sustainable modes (PT+W+C),2a. active travel %: walking,2b. active travel %: cycling,3a. casualty rate cyclists,3b. casualty rate pedestrians,4a. Cars per household,4b. % housholds without a car,5. low traffic neighbourhood filtering,6 20 mph limit %,7. CPZ coverage %,8. provision of protected cycle track %,9a. Schools  - STARS %,9b. schools: school streets %,population (projected from last census),area km^2,
Barking & Dagenham,,E09000002,,58.8,27.7,0.9,20.9003215434084,0.279702084756236,0.835331457281266,40.2,0.0372867063492063,27.4,26.5,5.5,9.5,7.8,221495,36.1,
Barnet,,E09000003,,53.4,31.8,2.5,6.46900269541779,0.206633314424032,0.940586368525182,31.6,0.0896334478808705,4.9,28.7,0.7,55.9,6.7,411275,86.7,
Bexley,,E09000004,,42.8,36.1,1.5,3.29964941224995,0.164059012992026,1.0685767209616,23.6,0.0424943015304461,9.7,15.6,3.1,28.5,0.0,256845,60.6,
Brent,,E09000005,,69.0,34.0,4.1,3.2792004996877,0.220580445833714,0.784443929683679,50.3,0.15156282998944,45.2,54.4,2.3,28.5,30.7,346437,43.2,
Bromley,,E09000006,,46.4,40.1,1.9,8.07754442649435,0.113759692456556,1.05079462451495,23.0,0.0467040029379361,4.9,8.1,1.3,60.5,5.2,339466,150.1,
Camden,,E09000007,true,83.4,40.9,6.8,3.94746035073011,0.157694998914231,0.363729662299056,70.2,0.128985852568876,95.2,93.1,7.8,24.8,20.0,259344,21.8,
City of London,,E09000001,true,92.8,55.1,1.5,5.86955368589743,0.150043524882662,0.525419776119403,72.0,0.9495,95.3,100.0,21.3,0.0,20.0,8164,2.9,
Croydon,,E09000008,,52.9,32.5,2.1,9.89247311827957,0.150883633550167,0.91814805160954,36.9,0.0357191715751473,77.6,19.8,0.6,27.0,17.2,403461,86.5,
Ealing,,E09000009,,61.7,39.0,3.0,5.57603251110481,0.209477373230848,0.946145097083435,41.5,0.342614381164492,88.2,35.8,3.7,23.1,1.8,369685,55.5,
Enfield,,E09000010,,54.9,31.6,2.6,2.76277784754489,0.220197760090522,0.922500849263457,32.4,0.157078391669077,21.1,12.0,10.5,25.9,11.1,346635,80.8,
Greenwich,,E09000011,,61.8,37.3,3.6,6.0125367788154,0.115696742310299,0.707141963056345,43.6,0.0812671703296703,62.1,28.2,7.6,46.5,9.9,294837,47.3,
