Date,Region_Name,Area_Code,Average_Price,Monthly_Change,Annual_Change,Average_Price_SA
1995-01-01,City of London,E09000001,91448.98487,,,
1995-02-01,City of London,E09000001,82202.77314,-10.11078663,,
1995-03-01,City of London,E09000001,79120.70256,-3.749351099,,
1995-04-01,City of London,E09000001,77101.20804,-2.552422386,,
1995-05-01,City of London,E09000001,84409.14932,9.478374552,,
1995-06-01,City of London,E09000001,94900.51244,12.42917765,,
1995-07-01,City of London,E09000001,110128.0423,16.04578256,,
1995-08-01,City of London,E09000001,112329.4376,1.998941645,,
1995-09-01,City of London,E09000001,104473.1096,-6.994006327,,
1995-10-01,City of London,E09000001,108038.1181,3.412369461,,
1995-11-01,City of London,E09000001,117635.614,8.883434865,,
1995-12-01,City of London,E09000001,127232.4459,8.158100787,,
1996-01-01,City of London,E09000001,108998.6449,-14.33109368,19.19065593,
1996-02-01,City of London,E09000001,93356.69814,-14.35058828,13.56879407,
1996-03-01,City of London,E09000001,93706.70087,0.374909066,18.43512233,
1996-04-01,City of London,E09000001,120542.7871,28.63838555,56.34357777,
1996-05-01,City of London,E09000001,112050.079,-7.045388912,32.74636682,
1996-06-01,City of London,E09000001,114226.1868,1.942085035,20.36414121,
1996-07-01,City of London,E09000001,97546.65538,-14.60219577,-11.42432632,
1996-08-01,City of London,E09000001,114178.9615,17.05061648,1.64651752,
1996-09-01,City of London,E09000001,108138.3441,-5.290481973,3.508304178,
1996-10-01,City of London,E09000001,98934.21106,-8.511442558,-8.426569454,
1996-11-01,City of London,E09000001,99706.77553,0.780887082,-15.24099534,
1996-12-01,City of London,E09000001,106426.6463,6.739632981,-16.35258955,
1997-01-01,City of London,E09000001,116343.2632,9.31779517,6.738265662,
1997-02-01,City of London,E09000001,111142.2413,-4.470410867,19.05116987,
1997-03-01,City of London,E09000001,107487.7721,-3.288101066,14.70660163,
1997-04-01,City of London,E09000001,108480.1265,0.923225449,-10.00695346,
1997-05-01,City of London,E09000001,115453.1138,6.427893773,3.037065995,
1997-06-01,City of London,E09000001,118316.6328,2.480244056,3.581005493,
1997-07-01,City of London,E09000001,117033.8026,-1.084234859,19.97725826,
1997-08-01,City of London,E09000001,113584.7062,-2.947094253,-0.520459542,
1997-09-01,City of London,E09000001,115159.3603,1.386325848,6.492624123,
1997-10-01,City of London,E09000001,121251.0481,5.28978957,22.55724976,
1997-11-01,City of London,E09000001,131074.4707,8.101721721,31.45994337,
1997-12-01,City of London,E09000001,130034.7709,-0.793213,22.1825318,
1998-01-01,City of London,E09000001,124381.6148,-4.347418803,6.909168132,
1998-02-01,City of London,E09000001,143828.6637,15.63498661,29.40954041,
1998-03-01,City of London,E09000001,156508.2157,8.815733729,45.60560021,
1998-04-01,City of London,E09000001,163402.8902,4.405311567,50.62933223,
1998-05-01,City of London,E09000001,143625.206,-12.10363181,24.40132729,
1998-06-01,City of London,E09000001,132250.9156,-7.919424986,11.77711231,
1998-07-01,City of London,E09000001,140377.131,6.144543779,19.94580009,
1998-08-01,City of London,E09000001,148993.1355,6.137755097,31.17358884,
1998-09-01,City of London,E09000001,152806.8225,2.559639396,32.69162146,
1998-10-01,City of London,E09000001,162019.7074,6.029105777,33.62334586,
1998-11-01,City of London,E09000001,152387.1579,-5.945294992,16.25998344,
1998-12-01,City of London,E09000001,155801.2742,2.240422597,19.81508722,
1999-01-01,City of London,E09000001,149142.8994,-4.273633084,19.90751173,
1999-02-01,City of London,E09000001,164544.6832,10.32686358,14.40326217,
1999-03-01,City of London,E09000001,174586.171,6.102590301,11.5508028,
1999-04-01,City of London,E09000001,191157.4832,9.491766765,16.98537459,
1999-05-01,City of London,E09000001,191080.7478,-0.040142515,33.04123495,
1999-06-01,City of London,E09000001,185993.3245,-2.662446822,40.63670084,
