Café,Drink,Sugars per serving (g),Teaspoons of sugar per serving
Starbucks,"Hot Mulled Fruit - Grape with Chai, Orange and Cinnamon Venti",99.0,25
Starbucks,"Hot Mulled Fruit - Apple with Chai, Dried Apple and Cinnamon Venti",88.0,22
Costa Coffee,Chai Latte Massimo - Eat In,79.7,20
Starbucks,"Hot Mulled Fruit - Grape with Chai, Orange and Cinnamon Grande",76.0,19
Starbucks,White Chocolate Mocha with Whipped Cream Venti,73.8,18
Starbucks,"Hot Mulled Fruit - Apple with Chai, Dried Apple and Cinnamon Grande",69.0,17
Starbucks,Signature Hot Chocolate Venti,60.0,15
Starbucks,White Chocolate Mocha with Whipped Cream Grande,59.1,15
KFC,Mocha,58.8,15
Costa Coffee,Mocha Latte Massimo - Eat Out,57.5,14
Costa Coffee,Mocha Latte Massimo - Eat In,56.3,14
KFC,Hot Chocolate with cream,54.3,14
Costa Coffee,Hot Chocolate Massimo - Eat Out,54.0,14
Costa Coffee,Hot Chocolate Massimo - Eat In,53.1,13
Costa Coffee,Mocha Massimo - Eat Out,52.6,13
Starbucks,Chai Tea Latte Venti,52.0,13
Starbucks,"Hot Mulled Fruit - Grape with Chai, Orange and Cinnamon Tall",52.0,13
Costa Coffee,Mocha Massimo - Eat In,51.7,13
Caffe Nero,Caramelatte - Drink In,50.6,13
Costa Coffee,Chai Latte Medio - Eat In,49.3,12
Starbucks,Signature Hot Chocolate Grande,47.4,12
Starbucks,"Hot Mulled Fruit - Apple with Chai, Dried Apple and Cinnamon Tall",47.0,12
Eat,Matcha Latte Big,45.2,11
KFC,Mocha,45.1,11
Greggs,Mocha Large,45.0,11
Starbucks,White Chocolate Mocha with Whipped Cream Tall,44.4,11
Starbucks,Mocha with Whipped Cream Venti,43.2,11
McDonalds,Mocha Large,43.0,11
Eat,Chai Latte Big,42.8,11
Pret a Manger,Orange Spiced Hot Chocolate,42.2,11
Starbucks,Caramel Macchiatto Venti,42.1,11
KFC,Hot Chocolate with cream,42.0,11
Starbucks,Classic Hot Chocolate Venti,41.8,10
Starbucks,Chai Tea Latte Grande,41.5,10
Caffe Nero,Hot Chocolate with Whipped Cream - Drink In,41.0,10
Starbucks,Pumpkin Spice Latte with Whip Venti,39.2,10
McDonalds,Mocha Medium,38.0,10
Costa Coffee,Mocha Latte Medio - Eat In,37.7,9
Costa Coffee,Mocha Latte Medio - Eat Out,37.7,9
Starbucks,Signature Hot Chocolate Tall,36.4,9
McDonalds,Hot Chocolate Large,36.0,9
Costa Coffee,Gingerbread Latte Massimo - Eat Out,36.0,9
Caffe Nero,Hot Chocolate Milano with Whipped Cream Drink in,35.7,9
Costa Coffee,Cinnamon Latte Massimo -Eat Out,35.4,9
Costa Coffee,Vanilla Latte Massimo -Eat Out,35.3,9
Costa Coffee,Roasted Hazelnut Latte Massimo -Eat Out,35.0,9
