Source,Error,Survey End Date,CON (%),LAB (%),LD (%),UKIP (%),Grn (%),Con Lead
Ipsos-Mori,,1983-06-16,43,27,29,,,
Ipsos-Mori,,1983-07-21,44,30,25,,,
ICM,,1983-08-08,45,30,24,,,
Ipsos-Mori,,1983-08-18,46,30,22,,,
Harris,,1983-10-05,42,39,18,,,
ICM,,1983-10-10,42,37,20,,,
Ipsos-Mori,,1983-10-20,42,37,19,,,
Ipsos-Mori,,1983-10-31,43,35,20,,,
ICM,,1983-11-07,42,35,22,,,
Ipsos-Mori,,1983-12-02,44,37,18,,,
ICM,,1983-12-05,41,37,21,,,
Ipsos-Mori,,1983-12-16,40.5,39.5,18,,,
Ipsos-Mori,,1984-01-05,42,37,19,,,
ICM,,1984-01-12,42,38,19,,,
Harris,,1984-01-18,43,36,18,,,
ICM,,1984-02-09,39,40,20,,,
Ipsos-Mori,,1984-02-16,41,38,19,,,
Ipsos-Mori,,1984-03-02,38,41,18,,,
Ipsos-Mori,,1984-03-14,41,40,17,,,
ICM,,1984-03-15,38,38,22,,,
ICM,,1984-04-12,40,37,21,,,
Harris,,1984-04-13,40,36,22,,,
Ipsos-Mori,,1984-04-24,42,36,20,,,
Ipsos-Mori,,1984-04-25,40,39,20,,,
ICM,,1984-05-10,38,37,23,,,
Ipsos-Mori,,1984-05-24,40,38,21,,,
ICM,,1984-06-07,37,38,23,,,
Ipsos-Mori,,1984-06-07,42,38,18,,,
ICM,,1984-06-15,38,39,22,,,
Ipsos-Mori,,1984-06-21,39,39,21,,,
ICM,,1984-07-07,34.5,39,25.5,,,
ICM,,1984-08-09,36,39,24,,,
Ipsos-Mori,,1984-08-16,39,39,21,,,
Ipsos-Mori,,1984-08-28,39,40,19,,,
Ipsos-Mori,,1984-09-06,40,39,19,,,
ICM,,1984-09-07,39,38,21,,,
Ipsos-Mori,,1984-09-17,42,36,20,,,
ICM,,1984-09-20,38,36,24,,,
Ipsos-Mori,,1984-10-03,43,35,19,,,
ICM,,1984-10-04,38,37,23,,,
Ipsos-Mori,,1984-10-18,44,35,20,,,
ICM,,1984-11-01,42,33,24,,,
Ipsos-Mori,,1984-11-15,43,35,19,,,
Ipsos-Mori,,1984-12-05,41,37,20,,,
ICM,,1984-12-06,41,32,26,,,
Ipsos-Mori,,1984-12-28,38,36,25,,,
Ipsos-Mori,,1985-01-02,42,34,21,,,
ICM,,1985-01-10,41,33,25,,,
Ipsos-Mori,,1985-02-06,37,37,24,,,
ICM,,1985-02-07,38,35,26,,,
Ipsos-Mori,,1985-02-16,38,40,19,,,
Ipsos-Mori,,1985-02-19,39,35,24,,,
ICM,,1985-02-21,38,36,25,,,
Harris,,1985-03-06,40,38,19,,,
ICM,,1985-03-07,36,36,27,,,
Ipsos-Mori,,1985-03-19,36,40,23,,,
Ipsos-Mori,,1985-03-21,37,39,22,,,
ICM,,1985-04-11,33,38,28,,,
Ipsos-Mori,,1985-04-23,38,37,24,,,
Ipsos-Mori,,1985-05-07,34,36,28,,,
ICM,,1985-05-09,29,35,35,,,
Ipsos-Mori,,1985-05-21,33,35,30,,,
ICM,,1985-06-06,31,36,32,,,
Ipsos-Mori,,1985-06-18,35,36,27,,,
Ipsos-Mori,,1985-06-21,32,40,26,,,
ICM,,1985-07-04,31,34,33,,,
Ipsos-Mori,,1985-07-16,33,34,31,,,
ICM,,1985-08-08,31,36,31,,,
Ipsos-Mori,,1985-08-09,33,37,29,,,
Ipsos-Mori,,1985-08-13,31,35,31,,,
ICM,,1985-08-29,30,34,35,,,
Ipsos-Mori,,1985-09-03,31,37,31,,,
Harris,,1985-09-05,35,36,26,,,
ICM,,1985-09-12,31,32,36,,,
Ipsos-Mori,,1985-09-17,30,33,35,,,
Harris,,1985-09-28,33,32,32,,,
Ipsos-Mori,,1985-10-02,34,36,28,,,
