position,lastWeek,title,artist,label
1,2,DEVIL GATE DRIVE,SUZI QUATRO,RAK
2,1,TIGER FEET,MUD,RAK
3,22,JEALOUS MIND,ALVIN STARDUST,MAGNET
4,7,WOMBLING SONG,WOMBLES,CBS
5,3,THE MAN WHO SOLD THE WORLD,LULU,POLYDOR
6,New,REBEL REBEL,DAVID BOWIE,RCA
7,5,SOLITAIRE,ANDY WILLIAMS,CBS
8,26,THE AIR THAT I BREATHE,THE HOLLIES,POLYDOR
9,9,ALL OF MY LIFE,DIANA ROSS,TAMLA MOTOWN
10,19,LOVE'S THEME,LOVE UNLIMITED ORCHESTRA,PYE INTERNATIONAL
11,4,TEENAGE RAMPAGE,THE SWEET,RCA
12,8,ROCKIN' ROLL BABY,THE STYLISTICS,AVCO
13,16,MA! (HE'S MAKING EYES AT ME),LENA ZAVARONI,PHILIPS
14,21,NEVER NEVER GONNA GIVE YA UP,BARRY WHITE,PYE INTERNATIONAL
15,New,YOU'RE SIXTEEN,RINGO STARR,APPLE
16,13,TEENAGE DREAM,MARC BOLAN & T.REX,EMI
17,6,DANCE WITH THE DEVIL,COZY POWELL,RAK
18,38,REMEMBER (SHA-LA-LA-LA),BAY CITY ROLLERS,BELL
19,15,LIVING FOR THE CITY,STEVIE WONDER,TAMLA MOTOWN
20,46,THE MOST BEAUTIFUL GIRL,CHARLIE RICH,CBS
21,27,HAPPINESS IS ME AND YOU,GILBERT O'SULLIVAN,MAM
22,12,TEENAGE LAMENT '74,ALICE COOPER,WARNER BROTHERS
23,29,AFTER THE GOLDRUSH,PRELUDE,DAWN
24,23,THE LOVE I LOST,HAROLD MELVIN AND THE BLUENOTES,PHILADELPHIA INTERNATIONAL
25,31,SLIP AND SLIDE,MEDICINE HEAD,POLYDOR
26,25,HIGHWAY OF MY LIFE,THE ISLEY BROTHERS,EPIC
27,20,YOU WON'T FIND ANOTHER FOOL LIKE ME FT. LYN PAUL,THE NEW SEEKERS,POLYDOR
28,24,MY COO-CA-CHOO,ALVIN STARDUST,MAGNET
29,28,STAR,STEALERS WHEEL,A&M
30,44,BURN BABY BURN,HUDSON-FORD,A&M
,,,,
31,10,THE SHOW MUST GO ON,LEO SAYER,CHRYSALIS
32,11,HOW COME?,RONNIE LANE & SLIM CHANCE,GM
33,14,LOVE ON A MOUNTAIN TOP,ROBERT KNIGHT,MONUMENT
34,35,A LITTLE LOVIN',NEIL SEDAKA,POLYDOR
35,34,GALLOPING HOME,LONDON STRING CHORALE,POLYDOR
36,17,RADAR LOVE,GOLDEN EARRING,TRACK
37,36,BABY WE CAN'T GO WRONG,CILLA BLACK,EMI
38,New,BILLY - DON'T BE A HERO,PAPER LACE,BUS STOP
39,New,IT'S YOU,FREDDIE STARR,TIFFANY
40,48,UNTIL YOU COME BACK TO ME (THAT'S WHAT I'M GONNA DO),ARETHA FRANKLIN,ATLANTIC
41,18,FOREVER,ROY WOOD,HARVEST
42,30,(I CAN'T GET NO) SATISFACTION,BUBBLEROCK,UK
43,45,WILL YOU STILL LOVE ME TOMORROW,MELANIE,NEIGHBOURHOOD
44,33,PAPER ROSES,MARIE OSMOND,MGM
45,49,DARK LADY,CHER,MCA
46,37,SCULLERY,CLIFFORD T. WARD,CHARISMA
47,New,FUNKY NASSAU,BEGINNING OF THE END,ATLANTIC
48,New,JUST MY SOUL RESPONDING,SMOKEY ROBINSON,TAMLA MOTOWN
49,39,FOR THE GOOD TIMES,PERRY COMO,RCA
50,New,WHO DO YOU THINK YOU ARE,CANDLEWICK GREEN,DECCA
