congress,sente.total,senate.dem,senate.rep,senate.other,senate.vacant,house.total,house.dem,house.rep,house.other,house.vacant,startyear,endyear
34th,62,42,15,5,,234,83,108,43,,1855,1856
35th,64,39,20,5,,237,131,92,14,,1857,1858
36th,66,38,26,2,,237,101,113,23,,1859,1860
37th,50,11,31,7,1,178,42,106,28,2,1861,1862
38th,51,12,39,,,183,80,103,,,1863,1864
39th,52,10,42,,,191,46,145,,,1865,1866
40th,53,11,42,,,193,49,143,,1,1867,1868
41st,74,11,61,,2,243,73,170,,,1869,1870
42nd,74,17,57,,,243,104,139,,,1871,1872
43rd,74,19,54,,1,293,88,203,,2,1873,1874
44th,76,29,46,,1,293,181,107,3,2,1875,1876
45th,76,36,39,1,,293,156,137,,,1877,1878
46th,76,43,33,,,293,150,128,14,1,1879,1880
47th,76,37,37,2,,293,130,152,11,,1881,1882
48th,76,36,40,,,325,200,119,6,,1883,1884
49th,76,34,41,,1,325,182,140,2,1,1885,1886
50th,76,37,39,,,325,170,151,4,,1887,1888
51st,84,37,47,,,330,156,173,1,,1889,1890
52nd,88,39,47,2,,333,231,88,14,,1891,1892
53rd,88,44,38,3,3,356,220,126,10,,1893,1894
54th,88,39,44,5,,357,104,246,7,,1895,1896
55th,90,34,46,10,,357,134,206,16,1,1897,1898
56th,90,26,53,11,,357,163,185,9,,1899,1900
57th,90,29,56,3,2,357,153,198,5,1,1901,1902
58th,90,32,58,,,386,178,207,,1,1903,1904
59th,90,32,58,,,386,136,250,,,1905,1906
60th,92,29,61,,2,386,164,222,,,1907,1908
61st,92,32,59,,1,391,172,219,,,1909,1910
62nd,92,42,49,,1,391,228,162,1,,1911,1912
63rd,96,51,44,1,,435,290,127,18,,1913,1914
64th,96,56,39,1,,435,231,193,8,3,1915,1916
65th,96,53,42,1,,435,2101,216,9,,1917,1918
66th,96,47,48,1,,435,191,237,7,,1919,1920
67th,96,37,59,,,435,132,300,1,2,1921,1922
68th,96,43,51,2,,435,207,225,3,,1923,1924
69th,96,40,54,1,1,435,183,247,5,,1925,1926
70th,96,47,48,1,,435,195,237,3,,1927,1928
71st,96,39,56,1,,435,163,267,1,4,1929,1930
72nd,96,47,48,1,,435,2162,218,1,,1931,1932
73rd,96,59,36,1,,435,313,117,5,,1933,1934
74th,96,69,25,2,,435,322,103,10,,1935,1936
75th,96,75,17,4,,435,333,89,13,,1937,1938
76th,96,69,23,4,,435,262,169,4,,1939,1940
77th,96,66,28,2,,435,267,162,6,,1941,1942
78th,96,57,38,1,,435,222,209,4,,1943,1944
79th,96,57,38,1,,435,243,190,2,,1945,1946
80th,96,45,51,,,435,188,246,1,,1947,1948
81st,96,54,42,,,435,263,171,1,,1949,1950
82nd,96,48,47,1,,435,234,199,2,,1951,1952
83rd,96,46,48,2,,435,213,221,1,,1953,1954
84th,96,48,47,1,,435,232,203,,,1955,1956
85th,96,49,47,,,435,234,201,,,1957,1958
86th,98,64,34,,,4363,283,153,,,1959,1960
87th,100,64,36,,,4374,262,175,,,1961,1962
88th,100,67,33,,,435,258,176,,1,1963,1964
89th,100,68,32,,,435,295,140,,,1965,1966
90th,100,64,36,,,435,248,187,,,1967,1968
91st,100,58,42,,,435,243,192,,,1969,1970
92nd,100,54,44,2,,435,255,180,,,1971,1972
93rd,100,56,42,2,,435,242,192,1,,1973,1974
94th,100,61,37,2,,435,291,144,,,1975,1976
95th,100,61,38,1,,435,292,143,,,1977,1978
96th,100,58,41,1,,435,277,158,,,1979,1980
97th,100,46,53,1,,435,242,192,1,,1981,1982
98th,100,46,54,,,435,269,166,,,1983,1984
99th,100,47,53,,,435,253,182,,,1985,1986
100th,100,55,45,,,435,258,177,,,1987,1988
101st,100,55,45,,,435,260,175,,,1989,1990
102nd,100,56,44,,,435,267,167,1,,1991,1992
103rd,100,57,43,,,435,258,176,1,,1993,1994
104th,100,48,52,,,435,204,230,1,,1995,1996
105th,100,45,55,,,435,207,226,2,,1997,1998
106th,100,45,55,,,435,211,223,1,,1999,2000
107th,100,50,50,,,435,212,221,2,,2001,2002
108th,100,48,51,1,,435,205,229,1,,2003,2004
109th,100,44,55,1,,435,202,231,1,1,2005,2006
110th,100,49,49,2,,435,233,198,,4,2007,2008
111th,100,57,41,2,2,435,256,178,,1,2009,2010
112th,100,51,47,2,,435,193,242,,,2011,2012
113th,100,54,45,1,,435,201,234,,,2013,2014
114th,100,44,54,2,,435,188,246,,1,2015,2016
