state	statecode	statenumber	votes1788	votes1792	votes1796	votes1800	votes1804	votes1808	votes1812	votes1816	votes1820	votes1824	votes1828	votes1832	votes1836	votes1840	votes1844	votes1848	votes1852	votes1856	votes1860	votes1864	votes1868	votes1872	votes1876	votes1880	votes1884	votes1888	votes1892	votes1896	votes1900	votes1904	votes1908	votes1912	votes1916	votes1920	votes1924	votes1928	votes1932	votes1936	votes1940	votes1944	votes1948	votes1952	votes1956	votes1960	votes1964	votes1968	votes1972	votes1976	votes1980	votes1984	votes1988	votes1992	votes1996	votes2000	votes2004	votes2008	votes2012	votes2016	votes2020
Alaska 	AK	49																																												3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Alabama 	AL	22									3	5	5	7	7	7	9	9	9	9	9	0	8	10	10	10	10	10	11	11	11	11	11	12	12	12	12	12	11	11	11	11	11	11	11	11	10	10	9	9	9	9	9	9	9	9	9	9	9	9	9
Arkansas 	AR	25													3	3	3	3	4	4	4	0	5	6	6	6	7	7	8	8	8	9	9	9	9	9	9	9	9	9	9	9	9	8	8	8	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
Arizona 	AZ	48																																3	3	3	3	3	3	3	3	4	4	4	4	4	5	5	6	6	6	7	7	8	8	8	10	10	11	11	11
California 	CA	31																	4	4	4	5	5	6	6	6	8	8	9	9	9	10	10	13	13	13	13	13	22	22	22	25	25	32	32	32	40	40	45	45	45	47	47	54	54	54	55	55	55	55	55
Colorado 	CO	38																							3	3	3	3	4	4	4	5	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7	8	8	8	8	8	9	9	9	9	9
Connecticut 	CT	5	7	9	9	9	9	9	9	9	9	8	8	8	8	8	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	7	7	7	7	7
D.C. 	DC																																														3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Delaware 	DE	1	3	3	3	3	3	3	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Florida 	FL	27																3	3	3	3	0	3	4	4	4	4	4	4	4	4	5	5	6	6	6	6	6	7	7	7	8	8	10	10	10	14	14	17	17	17	21	21	25	25	25	27	27	29	29	29
Georgia 	GA	4	5	4	4	4	6	6	8	8	8	9	9	11	11	11	10	10	10	10	10	0	9	11	11	11	12	12	13	13	13	13	13	14	14	14	14	14	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	13	13	13	15	15	16	16	16
Hawaii 	HI	50																																												3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Iowa 	IA	29																4	4	4	4	8	8	11	11	11	13	13	13	13	13	13	13	13	13	13	13	13	11	11	11	10	10	10	10	10	9	9	8	8	8	8	8	7	7	7	7	7	6	6	6
Idaho 	ID	43																											3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Illinois 	IL	21									3	3	3	5	5	5	9	9	11	11	11	16	16	21	21	21	22	22	24	24	24	27	27	29	29	29	29	29	29	29	29	28	28	27	27	27	26	26	26	26	26	24	24	22	22	22	21	21	20	20	20
Indiana 	IN	19								3	3	5	5	9	9	9	12	12	13	13	13	13	13	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	14	14	13	13	13	13	13	13	13	13	13	13	12	12	12	12	12	11	11	11	11	11
Kansas 	KS	34																				3	3	5	5	5	9	9	10	10	10	10	10	10	10	10	10	10	9	9	9	8	8	8	8	8	7	7	7	7	7	7	7	6	6	6	6	6	6	6	6
Kentucky 	KY	15		4	4	4	8	8	12	12	12	14	14	15	15	15	12	12	12	12	12	11	11	12	12	12	13	13	13	13	13	13	13	13	13	13	13	13	11	11	11	11	11	10	10	10	9	9	9	9	9	9	9	8	8	8	8	8	8	8	8
Louisiana 	LA	18							3	3	3	5	5	5	5	5	6	6	6	6	6	0	7	8	8	8	8	8	8	8	8	9	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	9	9	9	9	8	8	8
Massachusetts 	MA	6	10	16	16	16	19	19	22	22	15	15	15	14	14	14	12	12	13	13	13	12	12	13	13	13	14	14	15	15	15	16	16	18	18	18	18	18	17	17	17	16	16	16	16	16	14	14	14	14	14	13	13	12	12	12	12	12	11	11	11
